time/time_elapsed,time/iterations,time/fps,time/total_timesteps,reward,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl
1104,43,46,51600,3464.6809553760504,0.001,-3.0307063697961507e-05,0.0,0.1659708023071289,544965.5625,0.2,-1.4592334573467574,1.0411195755004883,429948.21414388024,420,4.549821e-07
1130,44,46,52800,3227.214864136067,0.001,-5.705732014024504e-05,0.0,0.002591371536254883,20902.20703125,0.2,-1.459355817735195,1.0413579940795898,258777.1834309896,430,2.6229518e-06
1156,45,46,54000,544.4578567048367,0.001,-1.4238278001995249e-05,0.0,0.157800555229187,162488.640625,0.2,-1.4594707076748212,1.0413674116134644,511969.48006998695,440,3.4362074e-07
1182,46,46,55200,998.910587113829,0.001,-8.299802640806171e-06,0.0,0.3600655198097229,49812.6484375,0.2,-1.4594392249981563,1.0412760972976685,217796.35877685546,450,5.883972e-07
1208,47,46,56400,1037.631831259512,0.001,-1.1817845315172566e-05,0.0,0.19547468423843384,201274.25,0.2,-1.459358245631059,1.041221022605896,569063.3513671875,460,5.95053e-07
1235,48,46,57600,610.1460633666331,0.001,-1.2976538116304948e-05,0.0,0.40069788694381714,99757.6875,0.2,-1.4593164990345637,1.0411958694458008,432419.8173014323,470,6.8495666e-08
1263,49,46,58800,77.50387806385099,0.001,-9.32343293792807e-06,0.0,0.3372771143913269,136667.140625,0.2,-1.4593338499466577,1.0412555932998657,570265.9153645834,480,1.3584891e-07
1289,50,46,60000,694.6152408617387,0.001,-8.438805538738918e-06,0.0,0.33178091049194336,398763.5,0.2,-1.459377545118332,1.0412756204605103,730179.3916015625,490,3.1361978e-07
1315,51,46,61200,1122.1333232200902,0.001,-1.0897482281095142e-05,0.0,0.38137054443359375,52459.859375,0.2,-1.4594019537170728,1.0413202047348022,469646.8479003906,500,3.2792488e-07
1340,52,46,62400,1580.2907474076542,0.001,-2.8413006915635938e-05,0.0,0.4170458912849426,231329.171875,0.2,-1.4594249109427133,1.0413023233413696,245773.06881510417,510,5.005797e-07
