time/total_timesteps,reward,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/std,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl
43200,400.5230808457328,903,47,36,350,295067.8854288737,0.8602749705314636,0.001,194635.96875,-0.0013113252050916532,0.0,0.022852599620819092,0.2,-1.27077805797259,0.0010987417
44400,774.0433619579435,928,47,37,360,369877.0206380208,0.8637441396713257,0.001,174155.28125,-0.0003274613076957459,0.0,-0.031636595726013184,0.2,-1.2702063615123431,0.00019222334
45600,1330.0963784039375,953,47,38,370,397308.8571777344,0.875568151473999,0.001,128882.1875,-0.0006867840790623636,0.00016666666294137638,0.073231041431427,0.2,-1.279172999660174,0.00036528698
46800,1842.0173289045645,977,47,39,380,370091.9499715169,0.8721535801887512,0.001,185185.8125,-0.0012210022568983736,0.004749999893829226,0.11353707313537598,0.2,-1.2846726129452388,0.0024246408
48000,1759.4222031618083,1002,47,40,390,12260.055395507812,0.8631144762039185,0.001,4939.66455078125,-0.0019714609909278814,0.013083333009853959,0.545569509267807,0.2,-1.2769195516904195,0.0032031804
49200,1404.6862975863576,1027,47,41,400,18832.45587972005,0.8560600876808167,0.001,7036.78369140625,-0.002337795654257809,0.015249999643613895,0.4151705503463745,0.2,-1.2670058692495028,0.004054823
50400,1655.3622507450143,1052,47,42,410,270204.013667806,0.8593378067016602,0.001,16290.8173828125,-0.0001636318826134205,0.0,0.11157536506652832,0.2,-1.2657891099651655,8.503814e-05
51600,2302.9900161551072,1078,47,43,420,199485.98559570312,0.8538692593574524,0.001,6647.74853515625,-0.00030056287153120326,0.0,0.2507656216621399,0.2,-1.263607594370842,0.0005289198
52800,3031.1579302624596,1103,47,44,430,17261.88946533203,0.8564203381538391,0.001,6186.126953125,-0.0026623601316662195,0.013999999671553572,0.44515132904052734,0.2,-1.2631175950169564,0.003889655
54000,3814.653027201652,1127,47,45,440,12200.180908203125,0.8532955646514893,0.001,7926.99560546875,-0.0007422944493450083,0.004749999893829226,0.47332602739334106,0.2,-1.2632487351695696,0.0014244005
55200,4546.96261769922,1152,47,46,450,11972.891468302409,0.8572511672973633,0.001,12524.0205078125,-0.0012132873896823603,0.0054999998770654205,0.5733218789100647,0.2,-1.264761822919051,0.003261111
56400,5342.772814337924,1178,47,47,460,9071.102920532227,0.8490744233131409,0.001,7764.66943359375,-0.0014290370386126276,0.009666666450599829,0.6251207590103149,0.2,-1.2605730871359506,0.0020109052
57600,6149.647730559026,1202,47,48,470,11169.883071899414,0.852252185344696,0.001,3766.23779296875,-0.0014010688719433043,0.021749999451761443,0.5383675396442413,0.2,-1.25583159327507,0.004333977
58800,6915.75092561233,1227,47,49,480,7291.057756042481,0.8645825386047363,0.001,1916.443115234375,-0.002130418786740392,0.015166666296621164,0.6363238990306854,0.2,-1.2644974733392398,0.0036176194
60000,7662.908082259609,1251,47,50,490,6560.063855489095,0.8646577000617981,0.001,6759.2373046875,-0.0029027133110143192,0.02249999943499764,0.733248233795166,0.2,-1.2734989513953527,0.005013121
61200,8454.38816708711,1275,47,51,500,4091.0520441691083,0.8540771007537842,0.001,2499.109619140625,-0.0034105052955740772,0.022833332776402433,0.8548943102359772,0.2,-1.2653129756450654,0.004446133
62400,9257.900389063365,1299,48,52,510,4011.5576141357424,0.8523075580596924,0.001,1652.204833984375,-0.0015330030809618627,0.006749999849125743,0.8451052755117416,0.2,-1.2613588958978652,0.0012802654
